label,mode,stake,edge,prob,max_odds,bets,wr,roi,final_bk,growth,drawdown,lose_str,avg_odds,score,score2
S s=0.02 e=0.05 p=0.65 mo=3.0,SIMPLE,0.02,0.05,0.65,3.0,193,64.2,-2.92,177.6,-11.2,24.9,4,1.52,-0.289,-11.547
S s=0.02 e=0.05 p=0.65 mo=None,SIMPLE,0.02,0.05,0.65,,193,64.2,-2.92,177.6,-11.2,24.9,4,1.52,-0.289,-11.547
S s=0.03 e=0.02 p=0.5 mo=2.0,SIMPLE,0.03,0.02,0.5,2.0,1211,63.3,-0.28,179.1,-10.5,66.4,5,1.6,-0.158,-0.669
S s=0.03 e=0.02 p=0.5 mo=3.0,SIMPLE,0.03,0.02,0.5,3.0,1257,62.8,-0.12,190.2,-4.9,70.8,5,1.62,-0.069,-0.25
S s=0.03 e=0.02 p=0.5 mo=None,SIMPLE,0.03,0.02,0.5,,1257,62.8,-0.12,190.2,-4.9,70.8,5,1.62,-0.069,-0.25
S s=0.03 e=0.02 p=0.55 mo=2.0,SIMPLE,0.03,0.02,0.55,2.0,1152,64.4,0.41,229.7,14.8,48.2,4,1.58,0.308,1.498
S s=0.03 e=0.02 p=0.55 mo=3.0,SIMPLE,0.03,0.02,0.55,3.0,1152,64.4,0.41,229.7,14.8,48.2,4,1.58,0.308,1.498
S s=0.03 e=0.02 p=0.55 mo=None,SIMPLE,0.03,0.02,0.55,,1152,64.4,0.41,229.7,14.8,48.2,4,1.58,0.308,1.498
S s=0.03 e=0.02 p=0.6 mo=2.0,SIMPLE,0.03,0.02,0.6,2.0,974,65.7,-0.05,197.1,-1.4,54.4,5,1.53,-0.026,-0.157
S s=0.03 e=0.02 p=0.6 mo=3.0,SIMPLE,0.03,0.02,0.6,3.0,974,65.7,-0.05,197.1,-1.4,54.4,5,1.53,-0.026,-0.157
S s=0.03 e=0.02 p=0.6 mo=None,SIMPLE,0.03,0.02,0.6,,974,65.7,-0.05,197.1,-1.4,54.4,5,1.53,-0.026,-0.157
S s=0.03 e=0.02 p=0.65 mo=2.0,SIMPLE,0.03,0.02,0.65,2.0,746,67.3,-0.45,180.2,-9.9,56.9,4,1.49,-0.174,-1.284
S s=0.03 e=0.02 p=0.65 mo=3.0,SIMPLE,0.03,0.02,0.65,3.0,746,67.3,-0.45,180.2,-9.9,56.9,4,1.49,-0.174,-1.284
S s=0.03 e=0.02 p=0.65 mo=None,SIMPLE,0.03,0.02,0.65,,746,67.3,-0.45,180.2,-9.9,56.9,4,1.49,-0.174,-1.284
S s=0.03 e=0.03 p=0.5 mo=2.0,SIMPLE,0.03,0.03,0.5,2.0,724,66.7,4.14,410.2,105.1,23.9,6,1.58,4.408,20.764
S s=0.03 e=0.03 p=0.5 mo=3.0,SIMPLE,0.03,0.03,0.5,3.0,749,66.4,4.37,443.1,121.5,23.4,4,1.6,5.185,22.149
S s=0.03 e=0.03 p=0.5 mo=None,SIMPLE,0.03,0.03,0.5,,749,66.4,4.37,443.1,121.5,23.4,4,1.6,5.185,22.149
